Reference_Graph,Edit_Distance,Group,Edit_Distance_Type,Rank
17_918099.pkl,0.32,Group_A,FaGED,1
33_459135.pkl,0.35,Group_A,FaGED,2
20_306098.pkl,0.36,Group_A,FaGED,3
71_523598.pkl,0.36,Group_A,FaGED,3
31_644920.pkl,0.509090909090909,Group_A,FaGED,5
20_306098.pkl,0.0,Group_A,GED,1
17_918099.pkl,1.0,Group_A,GED,2
71_523598.pkl,2.0,Group_A,GED,3
33_459135.pkl,3.0,Group_A,GED,4
31_644920.pkl,22.0,Group_A,GED,5
20_306098.pkl,0.0,Group_A,nGED,1
17_918099.pkl,0.04,Group_A,nGED,2
71_523598.pkl,0.08,Group_A,nGED,3
33_459135.pkl,0.15,Group_A,nGED,4
31_644920.pkl,0.4,Group_A,nGED,5
17_918099.pkl,0.36,Group_B,FaGED,1
20_306098.pkl,0.4,Group_B,FaGED,2
71_523598.pkl,0.4,Group_B,FaGED,2
33_459135.pkl,0.45,Group_B,FaGED,4
31_644920.pkl,0.4545454545454545,Group_B,FaGED,5
17_918099.pkl,2.0,Group_B,GED,1
20_306098.pkl,3.0,Group_B,GED,2
71_523598.pkl,5.0,Group_B,GED,3
33_459135.pkl,6.0,Group_B,GED,4
31_644920.pkl,19.0,Group_B,GED,5
17_918099.pkl,0.08,Group_B,nGED,1
20_306098.pkl,0.12,Group_B,nGED,2
71_523598.pkl,0.2,Group_B,nGED,3
33_459135.pkl,0.3,Group_B,nGED,4
31_644920.pkl,0.3454545454545454,Group_B,nGED,5
